"region"	"civilstånd"	"ålder"	"kön"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"05 Östergötlands län"	"gifta"	"totalt ålder"	"kvinnor"	80747	80056	78846	77655	76458	75534	75024	74542	74179	73710	73423	73190	73351	73672	74108	74539	74752	74912	75143	75486	75848	76084	76820	77300	77537	77675
"05 Östergötlands län"	"skilda"	"totalt ålder"	"män"	12677	13005	13333	13674	13878	14150	14402	14746	14972	15309	15480	15619	15673	15842	15938	16074	16280	16441	16608	16770	17064	17286	17450	17716	17915	18167
"05 Östergötlands län"	"skilda"	"totalt ålder"	"kvinnor"	15654	16109	16543	16933	17278	17704	17946	18341	18703	19147	19441	19585	19747	19928	20143	20395	20726	21007	21298	21628	21946	22285	22515	22819	23118	23425
"05 Östergötlands län"	"änkor/änklingar"	"totalt ålder"	"män"	5473	5449	5442	5394	5351	5306	5287	5180	5158	5094	5043	4985	5006	5001	4990	4983	4977	4962	4958	4920	4889	4866	4787	4745	4792	4782
"05 Östergötlands län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	21812	21778	21648	21490	21322	21074	20791	20453	20138	19936	19637	19348	19020	18711	18347	18054	17815	17500	17206	16879	16680	16471	16247	15999	15726	15491
"06 Jönköpings län"	"ogifta"	"totalt ålder"	"män"	82671	83089	83194	83255	83715	83845	84229	84493	84816	85347	85669	86210	86835	87725	88313	88716	89198	89757	90179	91092	92437	93851	95924	97963	99562	100891
"06 Jönköpings län"	"ogifta"	"totalt ålder"	"kvinnor"	70254	70642	70720	70840	71136	71099	71275	71604	72075	72482	72691	72991	73599	74277	75022	75427	75675	76107	76445	77104	77925	79140	80560	81967	83080	84079
"06 Jönköpings län"	"gifta"	"totalt ålder"	"män"	67963	67333	66569	65924	65363	64839	64702	64255	63779	63470	63451	63436	63441	63740	63919	63759	63815	63768	64008	64145	64554	65080	65817	66236	66549	66590
"06 Jönköpings län"	"gifta"	"totalt ålder"	"kvinnor"	68182	67590	66858	66185	65610	65106	64947	64507	64059	63788	63768	63658	63577	63836	64005	63923	63916	63791	64048	64181	64410	64849	65464	65941	66199	66194
"06 Jönköpings län"	"skilda"	"totalt ålder"	"män"	8220	8561	8802	9039	9262	9471	9689	9942	10196	10437	10580	10759	10931	11023	11083	11278	11429	11659	11783	12033	12211	12291	12325	12540	12753	12954
"06 Jönköpings län"	"skilda"	"totalt ålder"	"kvinnor"	9755	10140	10484	10771	11113	11348	11633	11968	12263	12579	12775	12988	13231	13334	13475	13731	13898	14122	14236	14517	14778	14984	15098	15303	15586	15871
"06 Jönköpings län"	"änkor/änklingar"	"totalt ålder"	"män"	4396	4342	4297	4307	4245	4152	4101	4047	3988	3952	3939	3915	3960	3917	3903	3891	3845	3853	3846	3845	3803	3781	3798	3794	3778	3824
"06 Jönköpings län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	17965	17898	17802	17747	17615	17406	17253	17008	16795	16604	16424	16222	15965	15758	15526	15319	15090	14839	14571	14318	14144	13861	13749	13493	13318	13196
"07 Kronobergs län"	"ogifta"	"totalt ålder"	"män"	47562	47651	47577	47619	47458	47281	47123	47385	47823	48191	48555	48621	49079	49547	50014	50366	50569	50909	51317	51929	52676	53598	54920	56133	57103	58002
"07 Kronobergs län"	"ogifta"	"totalt ålder"	"kvinnor"	38686	38788	38831	38817	38772	38712	38666	38936	39190	39692	39948	40236	40484	40880	41268	41547	41807	41959	42551	42989	43573	44357	45468	46351	47108	47579
"07 Kronobergs län"	"gifta"	"totalt ålder"	"män"	35934	35527	35068	34627	34167	33757	33548	33189	32939	32737	32749	32656	32915	33139	33387	33447	33616	33646	33632	33708	33998	34286	34654	34987	35242	35234
"07 Kronobergs län"	"gifta"	"totalt ålder"	"kvinnor"	36051	35656	35192	34738	34238	33813	33614	33250	33010	32764	32855	32726	32868	33002	33226	33401	33444	33486	33448	33475	33730	33949	34288	34653	34882	34842
"07 Kronobergs län"	"skilda"	"totalt ålder"	"män"	4731	4869	5040	5209	5287	5391	5518	5638	5761	5810	5922	5984	6057	6112	6222	6309	6376	6476	6640	6768	6877	6975	7085	7182	7319	7422
"07 Kronobergs län"	"skilda"	"totalt ålder"	"kvinnor"	5824	5996	6164	6312	6452	6599	6732	6887	7060	7188	7325	7420	7510	7577	7724	7820	7903	8062	8277	8370	8479	8539	8633	8796	8943	9127
"07 Kronobergs län"	"änkor/änklingar"	"totalt ålder"	"män"	2323	2299	2280	2255	2252	2258	2237	2227	2233	2230	2218	2207	2230	2193	2181	2180	2182	2183	2187	2192	2167	2137	2130	2109	2110	2134
