"region"	"civilstånd"	"ålder"	"kön"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"19 Västmanlands län"	"gifta"	"totalt ålder"	"kvinnor"	50447	49802	49130	48379	47705	47246	46921	46615	46328	46210	46069	46057	43536	43659	43738	43876	43970	43990	44174	44442	44771	45035	45331	45664	45877	45742
"19 Västmanlands län"	"skilda"	"totalt ålder"	"män"	9198	9469	9617	9814	10043	10173	10383	10649	10878	11102	11189	11199	10841	10924	11075	11189	11363	11513	11671	11861	12017	12085	12171	12339	12412	12604
"19 Västmanlands län"	"skilda"	"totalt ålder"	"kvinnor"	11293	11553	11793	12011	12245	12537	12771	13085	13438	13717	13867	13984	13653	13787	13935	14129	14340	14613	14849	15089	15249	15408	15574	15788	15913	16209
"19 Västmanlands län"	"änkor/änklingar"	"totalt ålder"	"män"	3668	3649	3626	3589	3537	3533	3540	3542	3499	3486	3453	3431	3188	3163	3152	3142	3104	3045	3028	3055	3042	3053	3091	3103	3118	3086
"19 Västmanlands län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	14060	14090	13998	13901	13774	13600	13458	13189	12953	12848	12632	12473	11738	11469	11252	11119	10977	10767	10634	10447	10272	10157	10077	9924	9814	9727
"20 Dalarnas län"	"ogifta"	"totalt ålder"	"män"	76646	76741	76646	76113	75685	75338	74834	74853	75260	75624	75891	75952	76074	76141	76236	76606	77082	76878	77030	77645	78500	79793	81431	82246	82923	83427
"20 Dalarnas län"	"ogifta"	"totalt ålder"	"kvinnor"	63633	63797	63710	63264	63037	62818	62471	62458	62787	63079	63102	63431	63636	63810	64092	64461	64760	64769	64938	65535	66127	66787	67973	68809	69411	70018
"20 Dalarnas län"	"gifta"	"totalt ålder"	"män"	54121	53129	52153	51026	50104	49103	48340	47647	47061	46685	46372	46092	45983	45912	45953	45953	45925	45837	45741	45522	45596	45764	46110	46129	45998	45823
"20 Dalarnas län"	"gifta"	"totalt ålder"	"kvinnor"	54232	53229	52265	51108	50180	49183	48386	47687	47100	46720	46377	46072	45930	45802	45858	45893	45778	45695	45597	45417	45348	45385	45726	45765	45699	45531
"20 Dalarnas län"	"skilda"	"totalt ålder"	"män"	9809	10092	10327	10543	10707	10914	11157	11355	11544	11688	11797	11849	11885	11990	12014	12048	12177	12235	12300	12431	12592	12671	12781	12863	12941	13012
"20 Dalarnas län"	"skilda"	"totalt ålder"	"kvinnor"	11512	11865	12137	12411	12649	12889	13114	13368	13616	13859	14000	14162	14281	14458	14551	14698	14852	14975	15125	15325	15500	15659	15777	15934	16070	16195
"20 Dalarnas län"	"änkor/änklingar"	"totalt ålder"	"män"	4473	4414	4365	4347	4277	4236	4184	4103	4054	3960	3899	3823	3807	3721	3664	3613	3641	3606	3585	3517	3532	3483	3499	3444	3382	3379
"20 Dalarnas län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	16777	16689	16568	16420	16259	16094	15773	15539	15214	14905	14604	14374	14115	13784	13499	13182	12832	12570	12239	11957	11708	11486	11234	10975	10767	10581
"21 Gävleborgs län"	"ogifta"	"totalt ålder"	"män"	76560	76792	76832	76563	76234	76219	76140	76233	76383	76711	76834	76933	76993	77228	77499	77800	78017	78016	78355	79018	79959	80930	82419	82867	83469	84033
"21 Gävleborgs län"	"ogifta"	"totalt ålder"	"kvinnor"	63557	63820	63902	63671	63659	63765	63710	63841	63925	64344	64584	64700	64861	65141	65389	65716	66060	66136	66425	67142	68060	68718	69551	70173	70789	71396
"21 Gävleborgs län"	"gifta"	"totalt ålder"	"män"	52675	51693	50592	49728	48606	47788	47038	46380	45664	45140	44893	44584	44370	44245	44213	44146	44094	43941	43976	43975	44072	44264	44426	44366	44199	43990
"21 Gävleborgs län"	"gifta"	"totalt ålder"	"kvinnor"	52843	51835	50748	49812	48712	47904	47152	46462	45732	45224	44977	44689	44472	44270	44270	44202	44150	43990	44063	44040	44022	44054	44209	44234	44093	43938
"21 Gävleborgs län"	"skilda"	"totalt ålder"	"män"	10186	10450	10692	10877	11084	11240	11460	11598	11770	11917	11975	12052	12053	12109	12183	12181	12295	12388	12440	12536	12654	12751	12881	12986	13050	13153
"21 Gävleborgs län"	"skilda"	"totalt ålder"	"kvinnor"	12196	12495	12814	13052	13309	13517	13790	14011	14244	14516	14628	14716	14823	14890	15050	15186	15278	15412	15495	15600	15760	15865	16030	16212	16347	16480
"21 Gävleborgs län"	"änkor/änklingar"	"totalt ålder"	"män"	4530	4486	4426	4375	4318	4194	4128	4088	4080	4048	4027	3986	3966	3917	3848	3825	3754	3681	3641	3582	3578	3589	3600	3578	3535	3446
"21 Gävleborgs län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	17107	16938	16783	16558	16304	16090	15844	15558	15214	14966	14681	14334	14115	13756	13456	13164	12860	12566	12242	12077	11886	11644	11470	11221	11065	10946
"22 Västernorrlands län"	"ogifta"	"totalt ålder"	"män"	67845	67698	67632	67475	67093	66592	65989	65784	65858	66096	66431	66456	66866	66799	66877	67005	67072	67199	67302	67601	68222	68801	69833	70342	70635	70956
"22 Västernorrlands län"	"ogifta"	"totalt ålder"	"kvinnor"	55524	55554	55533	55430	55220	54742	54356	54320	54536	55067	55570	55709	56091	56158	56347	56479	56622	56686	56777	57093	57488	58007	58654	59016	59187	59383
"22 Västernorrlands län"	"gifta"	"totalt ålder"	"män"	49352	48324	47335	46282	45311	44508	43792	43060	42582	42121	41791	41538	41352	41212	41130	40943	40688	40528	40455	40222	40232	40196	40226	39990	39536	39222
"22 Västernorrlands län"	"gifta"	"totalt ålder"	"kvinnor"	49411	48410	47416	46356	45371	44556	43824	43063	42628	42161	41870	41597	41396	41248	41210	40958	40714	40510	40472	40194	40085	39961	39932	39750	39375	39120
"22 Västernorrlands län"	"skilda"	"totalt ålder"	"män"	8449	8670	8935	9105	9245	9335	9466	9589	9712	9883	9947	10001	10027	10005	10004	10036	10111	10119	10138	10290	10400	10464	10528	10593	10603	10640
"22 Västernorrlands län"	"skilda"	"totalt ålder"	"kvinnor"	9810	10121	10417	10651	10838	11052	11210	11345	11472	11682	11764	11883	11927	11980	12058	12179	12266	12315	12370	12573	12702	12752	12841	12968	13004	13111
"22 Västernorrlands län"	"änkor/änklingar"	"totalt ålder"	"män"	4053	3926	3873	3827	3753	3699	3686	3617	3569	3490	3447	3463	3432	3371	3298	3278	3256	3204	3166	3192	3201	3193	3189	3174	3170	3164
"22 Västernorrlands län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	15851	15587	15446	15228	15053	14815	14580	14300	13962	13605	13375	13089	12887	12676	12448	12164	11896	11594	11301	10991	10731	10523	10369	10135	9943	9751
"23 Jämtlands län"	"ogifta"	"totalt ålder"	"män"	39055	39029	38927	38649	38385	38249	38074	37839	37771	37811	37840	37709	37771	37809	37930	37992	38098	38065	38041	38370	38605	39068	39732	40440	40646	40994
"23 Jämtlands län"	"ogifta"	"totalt ålder"	"kvinnor"	32136	32280	32212	32037	31859	31823	31554	31457	31529	31716	31910	32121	32283	32532	32538	32580	32737	32713	32822	33003	33252	33525	34013	34372	34715	35055
"23 Jämtlands län"	"gifta"	"totalt ålder"	"män"	23038	22506	21958	21432	20892	20492	20128	19783	19437	19171	18987	18772	18738	18611	18551	18449	18379	18278	18297	18242	18192	18221	18303	18402	18396	18402
"23 Jämtlands län"	"gifta"	"totalt ålder"	"kvinnor"	23051	22477	21965	21449	20912	20508	20161	19803	19458	19176	19003	18776	18739	18549	18510	18420	18345	18226	18263	18187	18086	18071	18164	18246	18258	18205
"23 Jämtlands län"	"skilda"	"totalt ålder"	"män"	4196	4339	4468	4579	4692	4737	4825	4921	5027	5102	5133	5155	5164	5202	5227	5252	5246	5303	5273	5324	5389	5387	5442	5433	5421	5422
"23 Jämtlands län"	"skilda"	"totalt ålder"	"kvinnor"	4763	4958	5107	5215	5353	5400	5496	5566	5663	5773	5786	5866	5919	5963	6012	6078	6127	6167	6180	6219	6327	6336	6372	6421	6488	6527
"23 Jämtlands län"	"änkor/änklingar"	"totalt ålder"	"män"	2100	2070	2056	2024	2005	1954	1902	1887	1850	1811	1782	1758	1716	1714	1692	1636	1630	1603	1573	1537	1506	1509	1518	1486	1511	1496
"23 Jämtlands län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	7962	7925	7868	7758	7668	7542	7426	7330	7212	7085	6983	6871	6690	6557	6437	6259	6129	5944	5752	5579	5408	5259	5129	5006	4845	4709
"24 Västerbottens län"	"ogifta"	"totalt ålder"	"män"	70679	71415	71686	71964	72081	72052	71985	72100	72774	73506	74224	74892	74933	74942	75125	75670	75987	76136	76393	76986	77602	78136	79082	80246	81145	81916
"24 Västerbottens län"	"ogifta"	"totalt ålder"	"kvinnor"	59818	60636	61083	61397	61454	61466	61397	61571	62215	62699	63429	63845	63958	63903	64037	64297	64482	64703	64871	65262	65745	66207	67092	67966	68634	69540
"24 Västerbottens län"	"gifta"	"totalt ålder"	"män"	48790	47992	47127	46305	45393	44755	44149	43499	43007	42647	42424	42276	42211	42287	42282	42327	42504	42505	42641	42587	42660	42668	43060	43391	43365	43297
"24 Västerbottens län"	"gifta"	"totalt ålder"	"kvinnor"	48780	48024	47156	46339	45459	44815	44202	43548	43054	42687	42416	42264	42192	42232	42285	42320	42465	42469	42645	42566	42588	42563	42918	43253	43251	43156
"24 Västerbottens län"	"skilda"	"totalt ålder"	"män"	6693	7031	7250	7462	7635	7825	8023	8207	8354	8509	8539	8623	8710	8789	8820	8835	8894	9010	8994	9061	9179	9287	9331	9327	9493	9567
"24 Västerbottens län"	"skilda"	"totalt ålder"	"kvinnor"	7815	8182	8441	8666	8907	9113	9341	9556	9708	9950	10042	10186	10300	10381	10458	10562	10690	10813	10891	10995	11166	11319	11401	11447	11593	11721
"24 Västerbottens län"	"änkor/änklingar"	"totalt ålder"	"män"	3389	3383	3377	3319	3283	3260	3217	3198	3176	3144	3144	3110	3055	3051	3042	2973	2923	2868	2866	2922	2883	2839	2868	2930	2926	2926
"24 Västerbottens län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	13811	13809	13775	13711	13591	13424	13326	13139	12942	12814	12657	12456	12222	12008	11763	11564	11341	11163	10916	10733	10539	10359	10129	9905	9747	9613
